,,,,,Llama3.1-8B,,,,Llama3.1-70B,,,,Llama3.1-405B,,,,Gemini1.5-pro,,,,GPT-4.0mini,,,,GPT-4.0,,,,Claude-3.5,,,,OpenAI-o3-mini,,,,DeepSeek-Reasoner,,,,o3-mini(one_shot),,,,Claude-3.5(single-state),,,,DeepSeek-Reasoner(two_shot),,,,GPT-4o(tool_agent),,,,GPT-4o(single_state),,,,Claude-3.5(without_summarizer),,,,Claude-3.5(without_thought),,,,GPT-4o(without_summarizer),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s17.1 (nuke_the_broswer),nuke,Hard,Network Forensics,Reconnaissance,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,pass,01-Jan,,,fail,,wrong_answer,5,fail,,wrong_answer,4,fail,,wrong_answer,4,fail,,,,pass,,,,pass,,,,fail,,,,pass,,,,pass,,,,fail,,,,fail,,,
s17.2,nuke,Hard,Network Forensics,Command and Control,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,pass,01-Jan,,,pass,,,5,fail,,wrong_answer,4,pass,,,3,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,,fail,,,,pass,,,,pass,,,
s17.3,nuke,Hard,Network Forensics,Initial Access,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,give_up,,fail,,wrong_answer,,pass,,,,pass,01-Jan,,,fail,,wrong_answer,6,fail,,wrong_answer,6,fail,,wrong_answer,10,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,
s17.4,nuke,Hard,Network Forensics,Defense Evasion,fail,0/1,round_exceed,,fail,,round_exceed,,pass,,,,pass,,,,pass,,,,pass,01-Jan,,,pass,,,3,pass,,,3,fail,,wrong_answer,3,pass,,,,pass,,,,fail,,,,pass,,,,pass,,,,fail,,,,pass,,,,pass,,,
s17.5,nuke,Hard,Network Forensics,Initial Access,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,give_up,,fail,,give_up,,fail,,give_up,,fail,0/1,give_up,,pass,,,3,pass,,,3,pass,,,5,fail,,,,pass,,,,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s17.6,nuke,Hard,Network Forensics,Defense Evasion,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,give_up,,fail,,wrong_answer,,fail,,wrong_answer,,fail,0/1,give_up,,fail,,give_up,7,fail,,give_up,7,fail,,wrong_answer,5,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,context limit,,,pass,,,,fail,,,
s17.7,nuke,Hard,Network Forensics,Defense Evasion,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,give_up,,pass,,,,fail,,wrong_answer,,fail,0/1,give_up,,fail,,wrong_answer,5,pass,,,3,fail,,give_up,6,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s17.8,nuke,Hard,Network Forensics,Defense Evasion,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,give_up,,fail,,give_up,,fail,,give_up,,fail,0/1,give_up,,pass,,,5,fail,,give_up,3,fail,,wrong_answer,4,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,
s17.9,nuke,Hard,Network Forensics,Execution,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,give_up,,fail,,give_up,,fail,,give_up,,fail,0/1,give_up,,pass,,,6,fail,,round_exceed,10,fail,,give_up,4,fail,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,
s17.10,nuke,Hard,Network Forensics,Command and Control,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,give_up,,fail,,give_up,,fail,,give_up,,fail,0/1,give_up,,pass,,,5,pass,,,2,pass,,,3,pass,,,,fail,,,,pass,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s18.1 (Reveal),reveal,Easy,Memory Forensics,Execution,fail,0/1,round_exceed,,fail,,wrong_answer,,pass,,,,pass,,,,pass,,,,pass,01-Jan,,,pass,,,4,fail,,wrong_answer,4,pass,,,4,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s18.2,reveal,Easy,Memory Forensics,Execution,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,pass,01-Jan,,,pass,,,3,fail,,wrong_answer,3,pass,,,2,fail,,,,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s18.3,reveal,Easy,Memory Forensics,Execution,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,give_up,,fail,,give_up,,pass,01-Jan,,,pass,,,4,fail,,wrong_answer,4,fail,,wrong_answer,3,fail,,,,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,fail,context limitation,,
s18.4,reveal,Easy,Memory Forensics,Lateral Movement,fail,0/1,round_exceed,,fail,,wrong_answer,,pass,,,,fail,,give_up,,fail,,give_up,,pass,01-Jan,,,pass,,,3,fail,,wrong_answer,3,pass,,,4,fail,,,,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,fail,,,
s18.5,reveal,Easy,Memory Forensics,Initial Access,fail,0/1,round_exceed,,pass,,,,pass,,,,fail,,wrong_answer,,fail,,give_up,,pass,01-Jan,,,pass,,,3,pass,,,3,fail,,wrong_answer,4,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s19.1 (Redline),redline,Easy,Memory Forensics,Execution,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,pass,,,,pass,01-Jan,,,pass,,,3,pass,,,3,pass,,,4,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,,pass,,,,pass,,,
s19.2,redline,Easy,Memory Forensics,Execution,fail,0/1,round_exceed,,fail,,give_up,,fail,,give_up,,fail,,wrong_answer,,pass,,,,pass,01-Jan,,,pass,,,3,pass,,,3,pass,,,2,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,context limit,,,pass,,,,pass,,,
s19.3,redline,Easy,Memory Forensics,Command and Control,fail,0/1,round_exceed,,fail,,give_up,,fail,,wrong_answer,,fail,,give_up,,pass,,,,fail,0/1,wrong_answer,,pass,,,3,fail,,wrong_answer,3,fail,,wrong_answer,4,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,
s19.4,redline,Easy,Memory Forensics,Command and Control,fail,0/1,round_exceed,,fail,,give_up,,fail,,wrong_answer,,pass,,,,fail,,give_up,,fail,0/1,wrong_answer,,fail,,wrong_answer,3,pass,,,3,pass,,,3,fail,,,,pass,,,,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,context limitation,,
s19.5,redline,Easy,Memory Forensics,Command and Control,fail,0/1,round_exceed,,fail,,give_up,,fail,,give_up,,fail,,wrong_answer,,fail,,give_up,,fail,0/1,wrong_answer,,pass,,,4,fail,,wrong_answer,4,fail,,wrong_answer,2,fail,,,,pass,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,
s19.6,redline,Easy,Memory Forensics,Initial Access,fail,0/1,round_exceed,,fail,,give_up,,fail,,give_up,,fail,,give_up,,fail,,give_up,,pass,01-Jan,,,pass,,,3,fail,,wrong_answer,3,fail,,wrong_answer,3,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s19.7,redline,Easy,Memory Forensics,Defense Evasion,fail,0/1,round_exceed,,fail,,give_up,,fail,,give_up,,pass,,,,fail,,give_up,,fail,0/1,wrong_answer,,pass,,,3,fail,,wrong_answer,2,pass,,,3,fail,,,,pass,,,,pass,,,,pass,,,,fail,,,,fail,,,,pass,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s20.1 (Team Spy),teamspy,Hard,Memory Forensics,Execution,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,pass,,,,fail,,wrong_answer,,fail,0/1,wrong_answer,,pass,,,6,fail,,wrong_answer,6,fail,,wrong_answer,8,fail,,,,fail,,,,,,,,fail,,,,fail,,,,pass,,,,,,,,pass,,,
s20.2,teamspy,Hard,Memory Forensics,Command and Control,fail,0/1,round_exceed,,fail,,give_up,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,pass,01-Jan,,,pass,,,3,pass,,,3,pass,,,3,fail,,,,fail,,,,,,,,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,
s20.3,teamspy,Hard,Memory Forensics,Initial Access,fail,0/1,round_exceed,,fail,,give_up,,fail,,wrong_answer,,fail,,give_up,,fail,,give_up,,fail,0/1,give_up,,fail,,wrong_answer,5,fail,,wrong_answer,3,fail,,round_exceed,10,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s20.4,teamspy,Hard,Memory Forensics,Credential Access,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,,fail,,give_up,,fail,,give_up,,fail,0/1,give_up,,fail,,wrong_answer,6,fail,,wrong_answer,3,fail,,wrong_answer,10,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s20.5,teamspy,Hard,Memory Forensics,Initial Access,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,,fail,,give_up,,fail,,give_up,,pass,01-Jan,,,pass,,,4,pass,,,7,pass,,,3,pass,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,
s20.6,teamspy,Hard,Memory Forensics,Initial Access,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,,fail,,give_up,,fail,,give_up,,fail,0/1,give_up,,fail,,wrong_answer,9,fail,,wrong_answer,6,fail,,wrong_answer,10,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s20.7,teamspy,Hard,Memory Forensics,Impact,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,give_up,,fail,,give_up,,fail,,give_up,,fail,0/1,give_up,,fail,,wrong_answer,9,fail,,wrong_answer,8,fail,,wrong_answer,5,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,context limit,,,fail,,,,fail,context limitation,,
s20.8,teamspy,Hard,Memory Forensics,Command and Control,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,give_up,,fail,,give_up,,fail,,give_up,,fail,0/1,give_up,,pass,,,5,fail,,wrong_answer,4,fail,,wrong_answer,6,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s20.9,teamspy,Hard,Memory Forensics,Command and Control,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,give_up,,fail,,wrong_answer,,fail,,give_up,,fail,0/1,wrong_answer,,fail,,wrong_answer,3,fail,,wrong_answer,3,fail,,wrong_answer,3,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s20.10,teamspy,Hard,Memory Forensics,Execution,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,give_up,,fail,,give_up,,fail,,give_up,,fail,0/1,wrong_answer,,fail,,wrong_answer,7,fail,,wrong_answer,3,fail,,wrong_answer,5,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s20.11,teamspy,Hard,Memory Forensics,Initial Access,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,,fail,,give_up,,pass,01-Jan,,,pass,,,4,fail,,wrong_answer,8,pass,,,3,fail,,,,fail,,,,,,,,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,
s20.12,teamspy,Hard,Memory Forensics,Exfiltration,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,,fail,,give_up,,fail,0/1,give_up,,fail,,wrong_answer,9,fail,,wrong_answer,5,fail,,wrong_answer,6,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s20.13,teamspy,Hard,Memory Forensics,Command and Control,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,,fail,,give_up,,pass,01-Jan,,,pass,,,7,fail,,wrong_answer,3,fail,,wrong_answer,3,fail,,,,fail,,,,,,,,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,
s20.14,teamspy,Hard,Memory Forensics,Initial Access,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,,fail,,give_up,,fail,0/1,wrong_answer,,pass,,,3,fail,,wrong_answer,3,fail,,wrong_answer,9,pass,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,
s20.15,teamspy,Hard,Memory Forensics,Resource Development,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,,fail,,give_up,,pass,01-Jan,,,pass,,,3,fail,,wrong_answer,3,pass,,,3,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s21.1 (Ransomed),ransomed,Hard,Malware Analysis,,fail,01-Jan,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,01-Jan,,,pass,,,3,pass,,,3,pass,,,3,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s21.2,ransomed,Hard,Malware Analysis,,fail,0/1,give_up,,fail,,give_up,,pass,,,,pass,,,,pass,,,,pass,01-Jan,,,pass,,,3,pass,,,3,pass,,,3,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s21.3,ransomed,Hard,Malware Analysis,,fail,0/1,give_up,,fail,,give_up,,fail,,give_up,,fail,,give_up,,fail,,wrong_answer,,fail,01-Jan,wrong_answer,,fail,,wrong_answer,3,fail,,wrong_answer,3,fail,,wrong_answer,3,pass,,,,pass,,,,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s21.4,ransomed,Hard,Malware Analysis,Defense Evasion,fail,0/1,give_up,,fail,,give_up,,fail,,give_up,,fail,,wrong_answer,,fail,,give_up,,fail,0/1,wrong_answer,,fail,,give_up,4,fail,,wrong_answer,10,fail,,wrong_answer,5,pass,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,context limitation,,
s21.5,ransomed,Hard,Malware Analysis,Defense Evasion,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,give_up,,fail,,give_up,,fail,0/1,wrong_answer,,fail,,give_up,5,fail,,wrong_answer,5,fail,,wrong_answer,3,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s21.6,ransomed,Hard,Malware Analysis,Defense Evasion,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,give_up,,fail,,give_up,,fail,0/1,wrong_answer,,fail,,give_up,5,fail,,wrong_answer,6,fail,,wrong_answer,5,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s21.7,ransomed,Hard,Malware Analysis,Execution,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,give_up,,fail,,wrong_answer,,fail,0/1,wrong_answer,,fail,,give_up,4,fail,,wrong_answer,3,fail,,wrong_answer,4,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s21.8,ransomed,Hard,Malware Analysis,Defense Evasion,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,0/1,wrong_answer,,fail,,give_up,4,fail,,wrong_answer,3,fail,,wrong_answer,3,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s21.9,ransomed,Hard,Malware Analysis,Defense Evasion,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,,fail,,give_up,,fail,0/1,give_up,,fail,,give_up,4,fail,,wrong_answer,4,fail,,wrong_answer,6,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s21.10,ransomed,Hard,Malware Analysis,Execution,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,,fail,,give_up,,fail,0/1,give_up,,fail,,give_up,4,fail,,wrong_answer,3,fail,,wrong_answer,5,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s21.11,ransomed,Hard,Malware Analysis,Defense Evasion,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,,fail,,give_up,,fail,0/1,give_up,,fail,,give_up,4,pass,,,3,pass,,,5,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s21.12,ransomed,Hard,Malware Analysis,Defense Evasion,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,,fail,,give_up,,fail,0/1,wrong_answer,,fail,,give_up,4,fail,,wrong_answer,2,pass,,,4,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s22.1 (Hammered),hammered,Medium,Miscellaneous,Initial Access,pass,01-Jan,,,pass,,,,fail,,wrong_answer,,pass,,,,pass,,,,pass,,,9,pass,,,5,pass,,,5,pass,,,9,,,,,pass,,,,,,,,,,,,pass,,,,fail,,,,,,,,fail,,,
s22.2,hammered,Medium,Miscellaneous,,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,4,pass,,,3,fail,,wrong_answer,3,fail,,wrong_answer,3,,,,,fail,,,,,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s22.3,hammered,Medium,Miscellaneous,Credential Access,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,pass,,,,pass,,,,pass,,,3,pass,,,3,fail,,wrong_answer,3,pass,,,4,,,,,fail,,,,,,,,,,,,pass,,,,fail,,,,,,,,fail,,,
s22.4,hammered,Medium,Miscellaneous,,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,3,fail,,wrong_answer,4,fail,,wrong_answer,3,fail,,wrong_answer,3,,,,,fail,,,,,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s22.5,hammered,Medium,Miscellaneous,Command and Control,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,pass,,,,pass,,,,pass,,,4,pass,,,4,pass,,,4,pass,,,5,,,,,pass,,,,,,,,,,,,fail,,,,fail,,,,,,,,fail,context limitation,,
s22.6,hammered,Medium,Miscellaneous,Defense Evasion,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,give_up,,fail,,give_up,6,pass,,,6,pass,,,3,fail,,give_up,6,,,,,fail,,,,,,,,,,,,fail,,,,fail,context limit,,,,,,,fail,,,
s22.7,hammered,Medium,Miscellaneous,Discovery,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,pass,,,,fail,,wrong_answer,,fail,,give_up,5,pass,,,6,pass,,,3,fail,,give_up,9,,,,,fail,,,,,,,,,,,,pass,,,,fail,,,,,,,,fail,,,
s22.8,hammered,Medium,Miscellaneous,,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,give_up,3,pass,,,3,fail,,wrong_answer,4,fail,,wrong_answer,6,,,,,fail,,,,,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s22.9,hammered,Medium,Miscellaneous,,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,give_up,,fail,,give_up,5,fail,,,4,fail,,wrong_answer,3,fail,,give_up,8,,,,,fail,,,,,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s22.10,hammered,Medium,Miscellaneous,Persistence,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,pass,,,,pass,,,,pass,,,4,pass,,,3,fail,,wrong_answer,3,pass,,,4,,,,,fail,,,,,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s22.11,hammered,Medium,Miscellaneous,Discovery,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,3,fail,,wrong_answer,4,fail,,wrong_answer,3,fail,,wrong_answer,4,,,,,fail,,,,,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s23.1 (Insider),insider,Easy,Memory Forensics,,pass,01-Jan,,,pass,,,,pass,,,,,,,,pass,,,,pass,,,5,pass,,,6,pass,,,10,pass,,,10,,,,,pass,,,,,,,,,,,,pass,,,,pass,,,,,,,,pass,,,
s23.2,insider,Easy,Memory Forensics,,fail,0/1,wrong_answer,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,5,pass,,,4,pass,,,4,fail,,wrong_answer,3,,,,,pass,,,,,,,,,,,,pass,,,,pass,,,,,,,,pass,,,
s23.3,insider,Easy,Memory Forensics,Credential Access,fail,0/1,wrong_answer,,pass,,,,pass,,,,fail,,wrong_answer,,pass,,,,fail,,wrong_answer,4,pass,,,4,pass,,,4,pass,,,3,,,,,pass,,,,,,,,,,,,pass,,,,pass,,,,,,,,fail,,,
s23.4,insider,Easy,Memory Forensics,Collection,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,give_up,,fail,,wrong_answer,4,fail,,wrong_answer,9,fail,,wrong_answer,4,fail,,give_up,5,,,,,fail,,,,,,,,,,,,fail,,,,pass,,,,,,,,fail,,,
s23.5,insider,Easy,Memory Forensics,Defense Evasion,fail,0/1,wrong_answer,,fail,,wrong_answer,,pass,,,,fail,,wrong_answer,,fail,,give_up,,pass,,,3,fail,,wrong_answer,4,fail,,wrong_answer,4,fail,,wrong_answer,5,,,,,fail,,,,,,,,,,,,pass,,,,pass,,,,,,,,fail,context limitation,,
s23.6,insider,Easy,Memory Forensics,,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,round_exceed,,pass,,,,fail,,give_up,,pass,,,4,pass,,,3,pass,,,6,pass,,,4,,,,,pass,,,,,,,,,,,,pass,,,,pass,,,,,,,,fail,,,
s23.7,insider,Easy,Memory Forensics,,fail,0/1,round_exceed,,pass,,,,fail,,wrong_answer,,fail,,wrong_answer,,pass,,,,fail,,give_up,5,pass,,,6,pass,,,4,fail,,give_up,8,,,,,fail,,,,,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s23.8,insider,Easy,Memory Forensics,Lateral Movement,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,round_exceed,,fail,,wrong_answer,,fail,,give_up,,fail,,give_up,4,fail,,wrong_answer,4,fail,,wrong_answer,3,fail,,wrong_answer,3,,,,,fail,,,,,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s23.9,insider,Easy,Memory Forensics,Credential Access,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,give_up,,fail,,give_up,4,fail,,wrong_answer,5,fail,,wrong_answer,3,fail,,wrong_answer,3,,,,,fail,,,,,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s23.10,insider,Easy,Memory Forensics,,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,give_up,,fail,,give_up,4,fail,,wrong_answer,5,fail,,wrong_answer,3,fail,,wrong_answer,4,,,,,fail,,,,,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s23.11,insider,Easy,Memory Forensics,,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,3,pass,,,5,fail,,wrong_answer,3,pass,,,3,,,,,pass,,,,,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s24.1 (obfuscated),obfuscated,Medium,Malware Analysis,,fail,01-Jan,wrong_answer,,pass,,,,fail,,wrong_answer,,pass,,,,pass,,,,pass,,,4,pass,,,3,pass,,,3,pass,,,5,,,,,pass,,,,,,,,,,,,pass,,,,pass,,,,,,,,pass,,,
s24.2,obfuscated,Medium,Malware Analysis,Execution,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,3,pass,,,3,fail,,wrong_answer,3,pass,,,4,,,,,pass,,,,,,,,,,,,fail,,,,pass,,,,,,,,fail,,,
s24.3,obfuscated,Medium,Malware Analysis,Defense Evasion,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,3,pass,,,3,fail,,wrong_answer,3,pass,,,3,,,,,fail,,,,,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s24.4,obfuscated,Medium,Malware Analysis,Execution,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,pass,,,,fail,,wrong_answer,,pass,,,3,pass,,,3,pass,,,2,pass,,,2,,,,,pass,,,,,,,,,,,,pass,,,,pass,,,,,,,,pass,,,
s24.5,obfuscated,Medium,Malware Analysis,Execution,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,pass,,,,fail,,wrong_answer,,pass,,,3,pass,,,3,fail,,wrong_answer,2,fail,,wrong_answer,2,,,,,pass,,,,,,,,,,,,pass,,,,pass,,,,,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
