,,,,,Llama3.1-8B,,,,Llama3.1-70B,,,,Llama3.1-405B,,,,Gemini1.5-pro,,,,GPT-4.0mini,,,,GPT-4.0,,,,Claude-3.5,,,,OpenAI-o3-mini,,,,DeepSeek-Reasoner,,,,o3-mini(one_shot),,,,Claude-3.5(single-state),,,,DeepSeek-Reasoner(two_shot),,,,GPT-4o(tool_agent),,,,GPT-4o(single_state),,,,Claude-3.5(without_summarizer),,,,Claude-3.5(without_thought),,,
s12.6,ransom_script,Easy,Malware Analysis,Command and Control,pass,1-Jan,,,pass,1-Jan,,,pass,1-Jan,,,pass,1-Jan,,3,fail,0/1,wrong answer,3,pass,1-Jan,,3,pass,,,5,pass,,,3,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,pass,,,,,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s7.1 (Btlo_phishing_email),phishing,Easy,Others,Reconnaissance,pass,1-Jan,,1,pass,1-Jan,,1,pass,1-Jan,,,pass,1-Jan,,9,pass,1-Jan,,3,pass,1-Jan,,3,pass,,,4,pass,,,3,pass,,,4,pass,,,,pass,,,,,,,,pass,,,,pass,,,,,,,,pass,,,
s7.2,phishing,Easy,Others,Reconnaissance,pass,1-Jan,,1,pass,1-Jan,,1,pass,1-Jan,,,pass,1-Jan,,3,pass,1-Jan,,2,pass,1-Jan,,3,pass,,,3,pass,,,3,pass,,,4,pass,,,,pass,,,,,,,,pass,,,,pass,,,,,,,,pass,,,
s7.3,phishing,Easy,Others,Reconnaissance,pass,1-Jan,,1,pass,1-Jan,,1,pass,1-Jan,,,pass,1-Jan,,3,pass,1-Jan,,2,pass,1-Jan,,3,pass,,,3,pass,,,3,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,pass,,,,,,,,pass,,,
s7.4,phishing,Easy,Others,Initial Access,pass,1-Jan,,1,pass,1-Jan,,1,pass,1-Jan,,,pass,1-Jan,,3,pass,1-Jan,,3,pass,1-Jan,,3,pass,,,3,pass,,,2,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,pass,,,,,,,,pass,,,
s7.5,phishing,Easy,Others,,pass,1-Jan,,1,pass,1-Jan,,1,pass,1-Jan,,,pass,1-Jan,,3,pass,1-Jan,,3,pass,1-Jan,,3,pass,,,3,pass,,,3,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,pass,,,,,,,,pass,,,
s7.6,phishing,Easy,Others,Defense Evasion,fail,0/1,"wrong command, wrong direction",1,pass,1-Jan,,1,pass,1-Jan,,,pass,1-Jan,,3,pass,1-Jan,,3,pass,1-Jan,,3,pass,,,3,pass,,,3,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,pass,,,,,,,,pass,,,
s7.7,phishing,Easy,Others,Defense Evasion,fail,0/1,"wrong direction, didn't find any encoded data, and just think about it in very simplistic way",1,fail,0/1,wrong commands with in the loop,1,fail,0/1,round exceed,,pass,1-Jan,,6,fail,0/1,wrong answer,3,pass,1-Jan,,6,fail,,wrong answer,6,fail,,wrong answer,3,fail,,wrong answer,10,fail,,,,fail,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s7.8,phishing,Easy,Others,Defense Evasion,fail,0/1,"wrong direction, didn't find any encoded data, and just think about it in very simplistic way",1,fail,0/1,wrong commands with in the loop,1,fail,0/1,round exceed,,pass,1-Jan,,4,fail,0/1,wrong answer,3,fail,0/1,"Given up, wrong commands",5,fail,,wrong answer,4,fail,,wrong answer,4,fail,,wrong answer,3,fail,,,,fail,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s8.1 (btlo_classical_injection),injection,Easy,Malware Analysis,Defense Evasion,fail,0/1,"round exceed, couldn't even find the file name",,pass,1-Jan,,,pass,1-Jan,,,pass,1-Jan,,6,pass,1-Jan,,4,pass,1-Jan,,4,pass,,,4,pass,,,3,pass,,,3,pass,,,,fail,,,,,,,,pass,,,,pass,,,,,,,,pass,,,
s8.2,injection,Easy,Malware Analysis,Credential Access,fail,0/1,"round exceed, couldn't even find the file name",,fail,0/1,"give up, assuming those key words, same command in loop",,fail,0/1,"Round exceed, same command in loop",,pass,1-Jan,,4,pass,1-Jan,,4,pass,1-Jan,,6,pass,,,4,fail,,wrong answer,6,fail,,wrong answer,3,fail,,,,pass,,,,,,,,fail,,,,pass,,,,,,,,pass,,,
s8.3,injection,Easy,Malware Analysis,Execution,fail,0/1,"round exceed, couldn't even find the file name",,fail,0/1,"Round Exceed, Running same command in loop",,fail,0/1,"Round exceed, same command in loop",,pass,1-Jan,,3,pass,1-Jan,,4,pass,1-Jan,,4,pass,,,3,pass,,,6,fail,,wrong answer,2,pass,,,,pass,,,,,,,,fail,,,,pass,,,,,,,,pass,,,
s8.4,injection,Easy,Malware Analysis,Defense Evasion,fail,0/1,"round exceed, couldn't even find the file name",,fail,0/1,"Round Exceed, Running same command in loop",,fail,0/1,"Round exceed, same command in loop",,pass,1-Jan,,4,pass,1-Jan,,3,pass,1-Jan,,3,pass,,,3,fail,,wrong answer,3,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,pass,,,,,,,,fail,,,
s8.5,injection,Easy,Malware Analysis,Command and Control,fail,0/1,"round exceed, couldn't even find the file name",,fail,0/1,"Round Exceed, Running same command in loop",,fail,0/1,"Round exceed, same command in loop",,pass,1-Jan,,4,pass,1-Jan,,4,pass,1-Jan,,4,pass,,,3,pass,,,4,fail,,wrong answer,3,pass,,,,pass,,,,,,,,pass,,,,pass,,,,,,,,pass,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s17.1 (nuke_the_broswer),nuke,Hard,Network Forensics,Reconnaissance,fail,0/1,wrong answer,,wrong answer,0/1,wrong answer,,fail,0/1,wrong answer,,fail,0/1,wrong answer,,fail,0/1,"wrong answer, wrong interpretation",,pass,1-Jan,,,fail,,,5,fail,,wrong answer,4,fail,,wrong answer,4,fail,,,,pass,,,,pass,,,,fail,,,,pass,,,,pass,,,,fail,,,
s17.2,nuke,Hard,Network Forensics,Command and Control,fail,0/1,round exceed,,wrong answer,0/1,wrong answer,,fail,0/1,wrong answer,,fail,0/1,wrong answer,,fail,0/1,"wrong answer, sparse investigation",,pass,1-Jan,,,pass,,,5,fail,,wrong answer,4,pass,,,3,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,,fail,,,,pass,,,
s17.3,nuke,Hard,Network Forensics,Initial Access,fail,0/1,round exceed,,wrong answer,0/1,wrong answer,,fail,0/1,give up,,fail,0/1,"wrong answer, wrong context interpretation",,pass,1-Jan,,,pass,1-Jan,,,fail,,wrong answer,6,fail,,wrong answer,6,fail,,wrong answer,10,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,
s17.4,nuke,Hard,Network Forensics,Defense Evasion,fail,0/1,round exceed,,fail,0/1,round exceed,,pass,1-Jan,,,pass,1-Jan,,,pass,1-Jan,,,pass,1-Jan,,,pass,,,3,pass,,,3,pass,,,3,pass,,,,pass,,,,fail,,,,pass,,,,pass,,,,fail,,,,pass,,,
s17.5,nuke,Hard,Network Forensics,Initial Access,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,give up,,fail,0/1,give up,,fail,0/1,"give up, wrong commands",,fail,0/1,"give up, wrong commands",,pass,,,3,pass,,,3,pass,,,5,fail,,,,pass,,,,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,
s17.6,nuke,Hard,Network Forensics,Defense Evasion,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,give up,,fail,0/1,wrong answer,,fail,0/1,wrong answer,,fail,0/1,give up,,fail,,give up,7,fail,,give up,7,fail,,wrong answer,5,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,pass,,,
s17.7,nuke,Hard,Network Forensics,Defense Evasion,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,give up,,pass,1-Jan,"give up, lack of deep investigation",,fail,0/1,,,fail,0/1,give up,,pass,,,5,pass,,,3,fail,,give up,6,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s17.8,nuke,Hard,Network Forensics,Defense Evasion,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,give up,,fail,0/1,give up,,fail,0/1,,,fail,0/1,give up,,pass,,,5,pass,,,3,pass,,,4,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,pass,,,
s17.9,nuke,Hard,Network Forensics,Execution,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,give up,,fail,0/1,give up,,fail,0/1,give up,,fail,0/1,"give up, wrong command",,pass,,,6,fail,,Round Exceed,10,fail,,give up,4,fail,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,
s17.10,nuke,Hard,Network Forensics,Execution,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,give up,,fail,0/1,give up,,fail,0/1,give up,,fail,0/1,"give up, wrong command",,pass,,,5,pass,,,2,pass,,,3,pass,,,,fail,,,,pass,,,,fail,,,,pass,,,,fail,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s18.1 (Reveal),reveal,Easy,Disk & Memory Forensics,Execution,fail,0/1,Round exceed,,fail,0/1,wrong answer,,pass,1-Jan,,,pass,1-Jan,,,pass,1-Jan,,,pass,1-Jan,,,pass,,,4,fail,,wrong answer,4,fail,,wrong answer,4,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,,,,,,pass,,,
s18.2,reveal,Easy,Disk & Memory Forensics,Execution,fail,0/1,Round exceed,,fail,0/1,wrong answer,,fail,0/1,wrong answer,,fail,0/1,"wrong answer, wrong interpretation",,fail,0/1,wrong answer,,pass,1-Jan,,,pass,,,3,fail,,wrong answer,3,fail,,wrong answer,2,fail,,,,fail,,,,pass,,,,pass,,,,pass,,,,,,,,pass,,,
s18.3,reveal,Easy,Disk & Memory Forensics,Execution,fail,0/1,Round exceed,,fail,0/1,wrong answer,,fail,0/1,wrong answer,,fail,0/1,"give up, chaining, wrong commands",,fail,0/1,give up,,pass,1-Jan,,,pass,,,4,fail,,wrong answer,4,fail,,wrong answer,3,fail,,,,fail,,,,pass,,,,pass,,,,pass,,,,,,,,pass,,,
s18.4,reveal,Easy,Disk & Memory Forensics,Lateral Movement,fail,0/1,Round exceed,,fail,0/1,wrong answer,,pass,1-Jan,,,fail,0/1,"give up, chaining, wrong commands",,fail,0/1,give up,,pass,1-Jan,,,pass,,,3,fail,,wrong answer,3,pass,,,4,fail,,,,fail,,,,pass,,,,pass,,,,pass,,,,,,,,pass,,,
s18.5,reveal,Easy,Disk & Memory Forensics,Privilege Escalation,fail,0/1,Round exceed,,pass,1-Jan,,,pass,1-Jan,,,fail,0/1,"wrong answer, wrong interpretation",,fail,0/1,give up,,pass,1-Jan,,,pass,,,3,pass,,,3,pass,,,4,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,,,,,,pass,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s19.1 (Redline),redline,Easy,Disk & Memory Forensics,Execution,fail,0/1,Round exceed,,fail,0/1,wrong answer,,fail,0/1,wrong answer,,fail,0/1,wrong answer,,pass,1-Jan,,,pass,1-Jan,,,pass,,,3,fail,,wrong answer,3,fail,,wrong answer,4,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,,,,,pass,,,
s19.2,redline,Easy,Disk & Memory Forensics,Execution,fail,0/1,Round exceed,,fail,0/1,give up,,fail,0/1,give up,,fail,0/1,"wrong answer, chaining effect",,pass,1-Jan,,,pass,1-Jan,,,pass,,,3,fail,,wrong answer,3,pass,,,2,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,,,,,pass,,,
s19.3,redline,Easy,Disk & Memory Forensics,Defense Evasion,fail,0/1,Round exceed,,fail,0/1,give up,,fail,0/1,wrong answer,,fail,0/1,"give up, wrong commnad",,pass,1-Jan,wrong answer,,fail,0/1,wrong answer,,pass,,,3,fail,,wrong answer,3,fail,,wrong answer,4,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,,,,,pass,,,
s19.4,redline,Easy,Disk & Memory Forensics,Command and Control,fail,0/1,Round exceed,,fail,0/1,give up,,fail,0/1,wrong answer,,pass,1-Jan,,,fail,0/1,"give up, same command in loop",,fail,0/1,wrong answer,,fail,,wrong answer,3,fail,,wrong answer,3,pass,,,3,fail,,,,pass,,,,pass,,,,fail,,,,fail,,,,,,,,fail,,,
s19.5,redline,Easy,Disk & Memory Forensics,Command and Control,fail,0/1,Round exceed,,fail,0/1,give up,,fail,0/1,give up,,fail,0/1,"wrong answer, chaining effect",,fail,0/1,"give up, same command in loop",,fail,0/1,"wrong answer, didn't utilize previous findings. ",,pass,,,4,fail,,wrong answer,4,fail,,wrong answer,2,fail,,,,pass,,,,pass,,,,fail,,,,fail,,,,,,,,pass,,,
s19.6,redline,Easy,Disk & Memory Forensics,Command and Control,fail,0/1,Round exceed,,fail,0/1,give up,,fail,0/1,give up,,fail,0/1,"give up, chaining affect",,fail,0/1,"give up, same command in loop",,pass,1-Jan,,,pass,,,3,fail,,wrong answer,3,fail,,wrong answer,3,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,,,,,,fail,,,
s19.7,redline,Easy,Disk & Memory Forensics,Persistence,fail,0/1,Round exceed,,fail,0/1,give up,,fail,0/1,give up,,pass,1-Jan,,,fail,0/1,give up,,fail,0/1,"wrong answer, chaining affect",,pass,,,3,fail,,wrong answer,2,pass,,,3,fail,,,,pass,,,,pass,,,,pass,,,,fail,,,,,,,,pass,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s20.1 (Team Spy),teamspy,Hard,Disk & Memory Forensics,Execution,fail,0/1,round exceed,,fail,0/1,wrong answer,,fail,0/1,wrong answer,,pass,1-Jan,,,fail,0/1,wrong answer,,fail,0/1,wrong answer,,pass,,,6,fail,,wrong answer,6,fail,,,8,fail,,,,fail,,,,,,,,fail,,,,fail,,,,,,,,,,,
s20.2,teamspy,Hard,Disk & Memory Forensics,Command and Control,fail,0/1,round exceed,,fail,0/1,give up,,fail,0/1,wrong answer,,fail,0/1,"wrong answer, context interpretation",,fail,0/1,wrong answer,,pass,1-Jan,,,pass,,,3,pass,,,3,pass,,,3,fail,,,,fail,,,,,,,,pass,,,,fail,,,,,,,,pass,,,
s20.3,teamspy,Hard,Disk & Memory Forensics,Defense Evasion,fail,0/1,round exceed,,fail,0/1,give up,,fail,0/1,wrong answer,,fail,0/1,"give up, wrong command, sparse investigation",,fail,0/1,"Give up,same command in loop",,fail,0/1,"give up, wrong command",,fail,,wrong answer,5,fail,,wrong answer,3,fail,,round exceed,10,fail,,,,fail,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s20.4,teamspy,Hard,Disk & Memory Forensics,Credential Access,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,wrong answer,,fail,0/1,give up,,fail,0/1,Give up,,fail,0/1,give up,,fail,,wrong answer,6,fail,,wrong answer,3,fail,,wrong answer,10,fail,,,,fail,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s20.5,teamspy,Hard,Disk & Memory Forensics,Initial Access,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,wrong answer,,fail,0/1,"give up, wrong commands",,fail,0/1,Give up,,pass,1-Jan,,,pass,,,4,pass,,,7,pass,,,3,pass,,,,fail,,,,,,,,fail,,,,fail,,,,,,,,pass,,,
s20.6,teamspy,Hard,Disk & Memory Forensics,Initial Access,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,wrong answer,,fail,0/1,"give up, wrong commands",,fail,0/1,Give up,,fail,0/1,"give up, chaining effect",,fail,,wrong answer,9,fail,,wrong answer,6,fail,,wrong answer,10,fail,,,,fail,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s20.7,teamspy,Hard,Disk & Memory Forensics,Impact,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,give up,,fail,0/1,"give up, wrong command",,fail,0/1,Give up,,fail,0/1,give up,,fail,,wrong answer,9,fail,,wrong answer,8,fail,,wrong answer,5,fail,,,,fail,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s20.8,teamspy,Hard,Disk & Memory Forensics,Persistence,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,give up,,fail,0/1,"give up, wrong command",,fail,0/1,Give up,,fail,0/1,give up,,pass,,,5,fail,,wrong answer,4,fail,,wrong answer,6,fail,,,,fail,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s20.9,teamspy,Hard,Disk & Memory Forensics,Command and Control,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,give up,,fail,0/1,wrong answer,,fail,0/1,Give up,,fail,0/1,wrong answer,,fail,,wrong answer,3,fail,,wrong answer,3,fail,,wrong answer,3,fail,,,,fail,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s20.10,teamspy,Hard,Disk & Memory Forensics,Execution,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,give up,,fail,0/1,Give up,,fail,0/1,Give up,,fail,0/1,,,fail,,wrong answer,7,fail,,wrong answer,3,fail,,wrong answer,5,fail,,,,fail,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s20.11,teamspy,Hard,Disk & Memory Forensics,Initial Access,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,Give up,,fail,0/1,Give up,,pass,1-Jan,,,pass,,,4,fail,,wrong answer,8,pass,,,3,fail,,,,fail,,,,,,,,pass,,,,fail,,,,,,,,fail,,,
s20.12,teamspy,Hard,Disk & Memory Forensics,Exfiltration,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,Give up,,fail,0/1,Give up,,fail,0/1,given up,,fail,,wrong answer,9,fail,,wrong answer,5,fail,,wrong answer,6,fail,,,,fail,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s20.13,teamspy,Hard,Disk & Memory Forensics,Command and Control,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,Give up,,fail,0/1,Give up,,pass,1-Jan,,,pass,,,7,fail,,wrong answer,3,fail,,wrong answer,3,fail,,,,fail,,,,,,,,pass,,,,fail,,,,,,,,fail,,,
s20.14,teamspy,Hard,Disk & Memory Forensics,Initial Access,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,Give up,,fail,0/1,Give up,,fail,0/1,wrong answer,,pass,,,3,fail,,wrong answer,3,fail,,wrong answer,9,pass,,,,fail,,,,,,,,fail,,,,fail,,,,,,,,pass,,,
s20.15,teamspy,Hard,Disk & Memory Forensics,Impact,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,round exceed,,fail,0/1,Give up,,fail,0/1,Give up,,pass,1-Jan,,,pass,,,3,fail,,wrong answer,3,pass,,,3,fail,,,,fail,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s21.1 (Ransomed),ransomed,Hard,Malware Analysis,,pass,1-Jan,,,pass,1-Jan,,,pass,1-Jan,,,pass,1-Jan,,,pass,1-Jan,,,pass,1-Jan,,,pass,,,3,pass,,,3,pass,,,3,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,,,,,pass,,,
s21.2,ransomed,Hard,Malware Analysis,,fail,0/1,,,pass,1-Jan,,,pass,1-Jan,,,pass,1-Jan,,,pass,1-Jan,,,pass,1-Jan,,,pass,,,3,pass,,,3,pass,,,3,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,,,,,pass,,,
s21.3,ransomed,Hard,Malware Analysis,,fail,0/1,,,fail,0/1,,,pass,1-Jan,,,pass,1-Jan,,,fail,0/1,,,pass,1-Jan,,,pass,,,3,pass,,,3,pass,,,3,pass,,,,pass,,,,pass,,,,fail,,,,fail,,,,,,,,pass,,,
s21.4,ransomed,Hard,Malware Analysis,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,,give up,4,fail,,wrong answer,10,fail,,wrong answer,5,pass,,,,fail,,,,pass,,,,fail,,,,fail,,,,,,,,fail,,,
s21.5,ransomed,Hard,Malware Analysis,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,,give up,5,fail,,wrong answer,5,fail,,wrong answer,3,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,,,,,fail,,,
s21.6,ransomed,Hard,Malware Analysis,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,,give up,5,fail,,wrong answer,6,fail,,wrong answer,5,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,,,,,fail,,,
s21.7,ransomed,Hard,Malware Analysis,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,,give up,4,fail,,wrong answer,3,fail,,wrong answer,4,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,,,,,fail,,,
s21.8,ransomed,Hard,Malware Analysis,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,,give up,4,fail,,wrong answer,3,fail,,wrong answer,3,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,,,,,fail,,,
s21.9,ransomed,Hard,Malware Analysis,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,,give up,4,fail,,wrong answer,4,fail,,wrong answer,6,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,,,,,fail,,,
s21.10,ransomed,Hard,Malware Analysis,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,,give up,4,fail,,wrong answer,3,fail,,wrong answer,5,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,,,,,fail,,,
s21.11,ransomed,Hard,Malware Analysis,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,,give up,4,fail,,wrong answer,3,fail,,wrong answer,5,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,,,,,fail,,,
s21.12,ransomed,Hard,Malware Analysis,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,,,4,pass,,wrong answer,2,pass,,,4,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,,,,,fail,,,
s21.13,ransomed,Hard,Malware Analysis,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,0/1,,,fail,,give up,4,fail,,wrong answer,2,fail,,wrong answer,3,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,,,,,fail,,,
